Generation,Population Size,Crossover Used,Best Fitness,Mean Fitness
0,1280,uniform_crossover,25.0,15.0703125
1,1280,uniform_crossover,27.0,16.54609375
2,1280,uniform_crossover,28.0,17.61875
3,1280,uniform_crossover,28.0,18.54375
4,1280,uniform_crossover,28.0,19.29375
5,1280,uniform_crossover,28.0,19.89140625
6,1280,uniform_crossover,28.0,20.415625
7,1280,uniform_crossover,28.0,20.88515625
8,1280,uniform_crossover,29.0,21.3140625
9,1280,uniform_crossover,29.0,21.675
10,1280,uniform_crossover,29.0,22.0734375
11,1280,uniform_crossover,29.0,22.42109375
12,1280,uniform_crossover,29.0,22.68828125
13,1280,uniform_crossover,31.0,22.9828125
14,1280,uniform_crossover,31.0,23.240625
15,1280,uniform_crossover,31.0,23.453125
16,1280,uniform_crossover,31.0,23.6953125
17,1280,uniform_crossover,31.0,23.92109375
18,1280,uniform_crossover,31.0,24.13515625
19,1280,uniform_crossover,31.0,24.3109375
20,1280,uniform_crossover,31.0,24.4765625
21,1280,uniform_crossover,31.0,24.6546875
22,1280,uniform_crossover,31.0,24.83125
23,1280,uniform_crossover,31.0,24.9921875
24,1280,uniform_crossover,31.0,25.11171875
25,1280,uniform_crossover,33.0,25.2796875
26,1280,uniform_crossover,33.0,25.4109375
27,1280,uniform_crossover,33.0,25.534375
28,1280,uniform_crossover,33.0,25.671875
29,1280,uniform_crossover,33.0,25.8046875
30,1280,uniform_crossover,33.0,25.940625
31,1280,uniform_crossover,33.0,26.07265625
32,1280,uniform_crossover,33.0,26.2046875
33,1280,uniform_crossover,33.0,26.321875
34,1280,uniform_crossover,33.0,26.421875
35,1280,uniform_crossover,33.0,26.546875
36,1280,uniform_crossover,33.0,26.6515625
37,1280,uniform_crossover,33.0,26.73125
38,1280,uniform_crossover,35.0,26.81875
39,1280,uniform_crossover,35.0,26.91484375
40,1280,uniform_crossover,35.0,26.98046875
41,1280,uniform_crossover,35.0,27.065625
42,1280,uniform_crossover,35.0,27.14765625
43,1280,uniform_crossover,35.0,27.209375
44,1280,uniform_crossover,35.0,27.2953125
45,1280,uniform_crossover,35.0,27.378125
46,1280,uniform_crossover,35.0,27.44765625
47,1280,uniform_crossover,35.0,27.52734375
48,1280,uniform_crossover,35.0,27.6140625
49,1280,uniform_crossover,35.0,27.67890625
