Generation,Population Size,Crossover Used,Best Fitness,Mean Fitness
0,1280,uniform_crossover,26.0,15.096875
1,1280,uniform_crossover,26.0,16.515625
2,1280,uniform_crossover,27.0,17.684375
3,1280,uniform_crossover,27.0,18.54296875
4,1280,uniform_crossover,28.0,19.2359375
5,1280,uniform_crossover,28.0,19.82578125
6,1280,uniform_crossover,28.0,20.34296875
7,1280,uniform_crossover,29.0,20.828125
8,1280,uniform_crossover,29.0,21.2515625
9,1280,uniform_crossover,29.0,21.62734375
10,1280,uniform_crossover,29.0,21.9484375
11,1280,uniform_crossover,31.0,22.19375
12,1280,uniform_crossover,31.0,22.5
13,1280,uniform_crossover,31.0,22.8140625
14,1280,uniform_crossover,31.0,23.06953125
15,1280,uniform_crossover,31.0,23.30703125
16,1280,uniform_crossover,31.0,23.54140625
17,1280,uniform_crossover,31.0,23.76328125
18,1280,uniform_crossover,31.0,23.9921875
19,1280,uniform_crossover,31.0,24.18515625
20,1280,uniform_crossover,31.0,24.36015625
21,1280,uniform_crossover,31.0,24.5359375
22,1280,uniform_crossover,31.0,24.7
23,1280,uniform_crossover,31.0,24.86640625
24,1280,uniform_crossover,31.0,25.01796875
25,1280,uniform_crossover,31.0,25.18125
26,1280,uniform_crossover,31.0,25.328125
27,1280,uniform_crossover,31.0,25.42734375
28,1280,uniform_crossover,31.0,25.55390625
29,1280,uniform_crossover,31.0,25.6625
30,1280,uniform_crossover,31.0,25.76953125
31,1280,uniform_crossover,35.0,25.859375
32,1280,uniform_crossover,35.0,25.96796875
33,1280,uniform_crossover,35.0,26.08984375
34,1280,uniform_crossover,35.0,26.18828125
35,1280,uniform_crossover,35.0,26.27734375
36,1280,uniform_crossover,35.0,26.3984375
37,1280,uniform_crossover,35.0,26.49609375
38,1280,uniform_crossover,35.0,26.57734375
39,1280,uniform_crossover,35.0,26.6703125
40,1280,uniform_crossover,35.0,26.75546875
41,1280,uniform_crossover,35.0,26.84921875
42,1280,uniform_crossover,35.0,26.953125
43,1280,uniform_crossover,35.0,27.0140625
44,1280,uniform_crossover,35.0,27.09921875
45,1280,uniform_crossover,35.0,27.1671875
46,1280,uniform_crossover,35.0,27.253125
47,1280,uniform_crossover,35.0,27.35
48,1280,uniform_crossover,35.0,27.42734375
49,1280,uniform_crossover,35.0,27.4890625
