Generation,Population Size,Crossover Used,Best Fitness,Mean Fitness
0,170,two_point_crossover,22.0,15.035294117647059
1,170,two_point_crossover,25.0,16.68235294117647
2,170,two_point_crossover,25.0,18.235294117647058
3,170,two_point_crossover,25.0,19.68235294117647
4,170,two_point_crossover,26.0,20.941176470588236
5,170,two_point_crossover,28.0,22.270588235294117
6,170,two_point_crossover,31.0,23.641176470588235
7,170,two_point_crossover,31.0,24.86470588235294
8,170,two_point_crossover,34.0,25.929411764705883
9,170,two_point_crossover,34.0,27.111764705882354
10,170,two_point_crossover,34.0,28.129411764705882
11,170,two_point_crossover,34.0,28.941176470588236
12,170,two_point_crossover,34.0,29.95294117647059
13,170,two_point_crossover,34.0,30.705882352941178
14,170,two_point_crossover,36.0,31.441176470588236
15,170,two_point_crossover,36.0,32.15882352941176
16,170,two_point_crossover,38.0,32.9
17,170,two_point_crossover,38.0,33.61764705882353
18,170,two_point_crossover,38.0,34.247058823529414
19,170,two_point_crossover,38.0,34.8
20,170,two_point_crossover,38.0,35.35294117647059
21,170,two_point_crossover,39.0,35.8235294117647
22,170,two_point_crossover,39.0,36.28235294117647
23,170,two_point_crossover,39.0,36.747058823529414
24,170,two_point_crossover,39.0,37.247058823529414
25,170,two_point_crossover,39.0,37.53529411764706
26,170,two_point_crossover,39.0,37.923529411764704
27,170,two_point_crossover,40.0,38.26470588235294
