Generation,Population Size,Crossover Used,Best Fitness,Mean Fitness
0,170,two_point_crossover,25.0,15.052941176470588
1,170,two_point_crossover,25.0,16.705882352941178
2,170,two_point_crossover,26.0,18.294117647058822
3,170,two_point_crossover,26.0,19.894117647058824
4,170,two_point_crossover,29.0,21.476470588235294
5,170,two_point_crossover,29.0,22.935294117647057
6,170,two_point_crossover,31.0,23.958823529411763
7,170,two_point_crossover,31.0,25.223529411764705
8,170,two_point_crossover,32.0,26.38235294117647
9,170,two_point_crossover,33.0,27.470588235294116
10,170,two_point_crossover,33.0,28.358823529411765
11,170,two_point_crossover,34.0,29.25294117647059
12,170,two_point_crossover,35.0,30.011764705882353
13,170,two_point_crossover,36.0,30.764705882352942
14,170,two_point_crossover,37.0,31.558823529411764
15,170,two_point_crossover,37.0,32.14705882352941
16,170,two_point_crossover,39.0,33.07058823529412
17,170,two_point_crossover,39.0,33.87647058823529
18,170,two_point_crossover,39.0,34.747058823529414
19,170,two_point_crossover,39.0,35.54117647058823
20,170,two_point_crossover,39.0,36.21764705882353
21,170,two_point_crossover,39.0,36.92941176470588
22,170,two_point_crossover,40.0,37.56470588235294
