Generation,Population Size,Crossover Used,Best Fitness,Mean Fitness
0,170,two_point_crossover,24.0,15.205882352941176
1,170,two_point_crossover,24.0,16.776470588235295
2,170,two_point_crossover,25.0,18.405882352941177
3,170,two_point_crossover,28.0,20.064705882352943
4,170,two_point_crossover,28.0,21.41764705882353
5,170,two_point_crossover,30.0,22.53529411764706
6,170,two_point_crossover,30.0,23.558823529411764
7,170,two_point_crossover,30.0,24.611764705882354
8,170,two_point_crossover,35.0,25.735294117647058
9,170,two_point_crossover,35.0,26.91176470588235
10,170,two_point_crossover,35.0,27.794117647058822
11,170,two_point_crossover,35.0,28.54705882352941
12,170,two_point_crossover,35.0,29.352941176470587
13,170,two_point_crossover,35.0,30.2
14,170,two_point_crossover,36.0,30.86470588235294
15,170,two_point_crossover,36.0,31.676470588235293
16,170,two_point_crossover,37.0,32.34705882352941
17,170,two_point_crossover,37.0,33.00588235294118
18,170,two_point_crossover,37.0,33.73529411764706
19,170,two_point_crossover,37.0,34.311764705882354
20,170,two_point_crossover,38.0,34.88235294117647
21,170,two_point_crossover,38.0,35.48235294117647
22,170,two_point_crossover,39.0,36.05294117647059
23,170,two_point_crossover,39.0,36.576470588235296
24,170,two_point_crossover,39.0,36.94705882352941
25,170,two_point_crossover,40.0,37.04117647058823
