Generation,Population Size,Crossover Used,Best Fitness,Mean Fitness
0,40,two_point_crossover,28.0,21.925
1,40,two_point_crossover,29.0,23.5
2,40,two_point_crossover,30.0,25.175
3,40,two_point_crossover,32.0,26.45
4,40,two_point_crossover,32.0,27.85
5,40,two_point_crossover,33.0,28.9
6,40,two_point_crossover,33.0,29.975
7,40,two_point_crossover,34.0,31.25
8,40,two_point_crossover,34.0,31.9
9,40,two_point_crossover,37.0,32.75
10,40,two_point_crossover,37.0,33.525
11,40,two_point_crossover,37.0,34.275
12,40,two_point_crossover,37.0,35.1
13,40,two_point_crossover,38.0,35.85
14,40,two_point_crossover,38.0,36.425
15,40,two_point_crossover,38.0,36.825
16,40,two_point_crossover,39.0,37.225
17,40,two_point_crossover,40.0,37.725
