Generation,Population Size,Crossover Used,Best Fitness,Mean Fitness
0,1120,two_point_crossover,24.0,9.611607142857142
1,1120,two_point_crossover,24.0,10.938392857142857
2,1120,two_point_crossover,24.0,11.913839285714285
3,1120,two_point_crossover,24.0,12.892857142857142
4,1120,two_point_crossover,24.0,13.64017857142857
5,1120,two_point_crossover,24.5,14.366964285714285
6,1120,two_point_crossover,26.0,14.9875
7,1120,two_point_crossover,26.0,15.689732142857142
8,1120,two_point_crossover,26.0,16.348660714285714
9,1120,two_point_crossover,26.0,16.994196428571428
10,1120,two_point_crossover,26.0,17.542410714285715
11,1120,two_point_crossover,27.0,18.164732142857144
12,1120,two_point_crossover,28.0,18.759375
13,1120,two_point_crossover,28.0,19.36294642857143
14,1120,two_point_crossover,30.5,19.947767857142857
15,1120,two_point_crossover,30.5,20.53125
16,1120,two_point_crossover,30.5,20.980357142857144
17,1120,two_point_crossover,30.5,21.535714285714285
18,1120,two_point_crossover,30.5,22.186160714285716
19,1120,two_point_crossover,30.5,22.675
20,1120,two_point_crossover,32.0,23.185714285714287
21,1120,two_point_crossover,33.0,23.680803571428573
22,1120,two_point_crossover,34.5,24.196428571428573
23,1120,two_point_crossover,34.5,24.75267857142857
24,1120,two_point_crossover,34.5,25.267857142857142
25,1120,two_point_crossover,34.5,25.742410714285715
26,1120,two_point_crossover,36.5,26.257142857142856
27,1120,two_point_crossover,36.5,26.829464285714284
28,1120,two_point_crossover,36.5,27.40892857142857
29,1120,two_point_crossover,36.5,27.975446428571427
30,1120,two_point_crossover,37.0,28.504017857142856
31,1120,two_point_crossover,37.0,29.037946428571427
32,1120,two_point_crossover,37.0,29.60982142857143
33,1120,two_point_crossover,37.0,30.258035714285715
34,1120,two_point_crossover,37.0,30.89330357142857
35,1120,two_point_crossover,37.5,31.59375
36,1120,two_point_crossover,40.0,31.809375
