Generation,Population Size,Crossover Used,Best Fitness,Mean Fitness
0,1120,two_point_crossover,23.5,9.599107142857143
1,1120,two_point_crossover,23.5,10.835267857142858
2,1120,two_point_crossover,23.5,11.877678571428572
3,1120,two_point_crossover,23.5,12.845982142857142
4,1120,two_point_crossover,23.5,13.591964285714285
5,1120,two_point_crossover,23.5,14.272767857142858
6,1120,two_point_crossover,23.5,14.982589285714285
7,1120,two_point_crossover,24.0,15.648214285714285
8,1120,two_point_crossover,24.0,16.185267857142858
9,1120,two_point_crossover,24.0,16.67455357142857
10,1120,two_point_crossover,24.0,17.170089285714287
11,1120,two_point_crossover,24.0,17.64017857142857
12,1120,two_point_crossover,24.5,18.08125
13,1120,two_point_crossover,26.0,18.566517857142856
14,1120,two_point_crossover,26.5,19.070982142857144
15,1120,two_point_crossover,26.5,19.560267857142858
16,1120,two_point_crossover,28.0,20.041071428571428
17,1120,two_point_crossover,28.0,20.459375
18,1120,two_point_crossover,30.5,20.884821428571428
19,1120,two_point_crossover,30.5,21.23526785714286
20,1120,two_point_crossover,30.5,21.632589285714285
21,1120,two_point_crossover,30.5,22.103125
22,1120,two_point_crossover,30.5,22.582589285714285
23,1120,two_point_crossover,30.5,22.962946428571428
24,1120,two_point_crossover,31.0,23.411160714285714
25,1120,two_point_crossover,31.0,23.807589285714286
26,1120,two_point_crossover,31.5,24.179910714285715
27,1120,two_point_crossover,32.5,24.644642857142856
28,1120,two_point_crossover,34.0,25.078125
29,1120,two_point_crossover,34.0,25.486607142857142
30,1120,two_point_crossover,34.0,25.903125
31,1120,two_point_crossover,36.0,26.40982142857143
32,1120,two_point_crossover,36.0,26.91830357142857
33,1120,two_point_crossover,36.0,27.50267857142857
34,1120,two_point_crossover,37.5,28.057589285714286
35,1120,two_point_crossover,37.5,28.587946428571428
36,1120,two_point_crossover,37.5,29.111607142857142
37,1120,two_point_crossover,37.5,29.68125
38,1120,two_point_crossover,37.5,30.24375
39,1120,two_point_crossover,37.5,30.773660714285715
40,1120,two_point_crossover,40.0,30.96607142857143
