Generation,Population Size,Crossover Used,Best Fitness,Mean Fitness
0,180,uniform_crossover,19.5,9.822222222222223
1,180,uniform_crossover,19.5,11.216666666666667
2,180,uniform_crossover,19.5,11.983333333333333
3,180,uniform_crossover,19.5,12.872222222222222
4,180,uniform_crossover,19.5,13.475
5,180,uniform_crossover,21.5,13.947222222222223
6,180,uniform_crossover,23.0,14.51388888888889
7,180,uniform_crossover,23.0,15.102777777777778
8,180,uniform_crossover,23.0,15.577777777777778
9,180,uniform_crossover,23.5,16.07777777777778
10,180,uniform_crossover,23.5,16.744444444444444
11,180,uniform_crossover,23.5,17.18611111111111
12,180,uniform_crossover,26.0,17.47222222222222
13,180,uniform_crossover,26.0,17.755555555555556
14,180,uniform_crossover,26.0,18.105555555555554
15,180,uniform_crossover,26.0,18.494444444444444
16,180,uniform_crossover,26.0,18.886111111111113
17,180,uniform_crossover,29.0,19.17222222222222
18,180,uniform_crossover,29.0,19.636111111111113
19,180,uniform_crossover,29.0,20.080555555555556
20,180,uniform_crossover,29.0,20.383333333333333
21,180,uniform_crossover,29.0,21.033333333333335
22,180,uniform_crossover,29.0,21.341666666666665
23,180,uniform_crossover,29.0,21.825
24,180,uniform_crossover,29.0,22.091666666666665
25,180,uniform_crossover,31.0,22.558333333333334
26,180,uniform_crossover,31.0,23.005555555555556
27,180,uniform_crossover,36.5,23.541666666666668
28,180,uniform_crossover,36.5,24.180555555555557
29,180,uniform_crossover,36.5,24.741666666666667
30,180,uniform_crossover,37.0,25.322222222222223
31,180,uniform_crossover,37.0,25.836111111111112
32,180,uniform_crossover,37.0,26.558333333333334
33,180,uniform_crossover,37.0,27.21388888888889
34,180,uniform_crossover,37.0,27.875
35,180,uniform_crossover,40.0,28.011111111111113
