Generation,Population Size,Crossover Used,Best Fitness,Mean Fitness
0,180,uniform_crossover,24.0,9.875
1,180,uniform_crossover,24.0,11.105555555555556
2,180,uniform_crossover,24.0,12.161111111111111
3,180,uniform_crossover,24.0,13.219444444444445
4,180,uniform_crossover,24.0,14.119444444444444
5,180,uniform_crossover,24.0,14.952777777777778
6,180,uniform_crossover,24.0,15.66388888888889
7,180,uniform_crossover,26.5,16.275
8,180,uniform_crossover,26.5,16.830555555555556
9,180,uniform_crossover,26.5,17.29722222222222
10,180,uniform_crossover,26.5,17.780555555555555
11,180,uniform_crossover,26.5,18.18888888888889
12,180,uniform_crossover,27.0,18.675
13,180,uniform_crossover,27.0,19.25
14,180,uniform_crossover,29.5,19.72222222222222
15,180,uniform_crossover,29.5,19.941666666666666
16,180,uniform_crossover,29.5,20.372222222222224
17,180,uniform_crossover,29.5,20.752777777777776
18,180,uniform_crossover,29.5,21.305555555555557
19,180,uniform_crossover,29.5,21.61111111111111
20,180,uniform_crossover,29.5,22.022222222222222
21,180,uniform_crossover,30.0,22.480555555555554
22,180,uniform_crossover,30.0,22.858333333333334
23,180,uniform_crossover,30.5,23.458333333333332
24,180,uniform_crossover,30.5,23.91111111111111
25,180,uniform_crossover,33.5,24.363888888888887
26,180,uniform_crossover,33.5,24.725
27,180,uniform_crossover,34.5,25.130555555555556
28,180,uniform_crossover,34.5,25.52777777777778
29,180,uniform_crossover,34.5,26.025
30,180,uniform_crossover,34.5,26.516666666666666
31,180,uniform_crossover,36.0,27.163888888888888
32,180,uniform_crossover,36.0,27.819444444444443
33,180,uniform_crossover,36.0,28.316666666666666
34,180,uniform_crossover,36.0,29.030555555555555
35,180,uniform_crossover,40.0,29.33888888888889
