Generation,Population Size,Crossover Used,Best Fitness,Mean Fitness
0,180,uniform_crossover,16.0,9.247222222222222
1,180,uniform_crossover,20.0,10.466666666666667
2,180,uniform_crossover,21.0,11.563888888888888
3,180,uniform_crossover,23.5,12.566666666666666
4,180,uniform_crossover,23.5,13.5
5,180,uniform_crossover,23.5,14.2
6,180,uniform_crossover,24.0,14.697222222222223
7,180,uniform_crossover,24.0,15.180555555555555
8,180,uniform_crossover,24.5,15.697222222222223
9,180,uniform_crossover,24.5,16.36111111111111
10,180,uniform_crossover,28.0,16.92222222222222
11,180,uniform_crossover,28.0,17.341666666666665
12,180,uniform_crossover,28.0,17.866666666666667
13,180,uniform_crossover,29.0,18.386111111111113
14,180,uniform_crossover,29.0,19.108333333333334
15,180,uniform_crossover,29.0,19.70277777777778
16,180,uniform_crossover,29.0,20.116666666666667
17,180,uniform_crossover,29.0,20.81111111111111
18,180,uniform_crossover,29.5,21.43611111111111
19,180,uniform_crossover,29.5,22.041666666666668
20,180,uniform_crossover,30.0,22.633333333333333
21,180,uniform_crossover,30.0,23.397222222222222
22,180,uniform_crossover,33.5,23.933333333333334
23,180,uniform_crossover,33.5,24.63888888888889
24,180,uniform_crossover,33.5,24.991666666666667
25,180,uniform_crossover,33.5,25.716666666666665
26,180,uniform_crossover,34.0,26.3
27,180,uniform_crossover,36.5,26.93611111111111
28,180,uniform_crossover,36.5,27.363888888888887
29,180,uniform_crossover,36.5,27.997222222222224
30,180,uniform_crossover,36.5,28.4
31,180,uniform_crossover,36.5,28.947222222222223
32,180,uniform_crossover,36.5,29.488888888888887
33,180,uniform_crossover,36.5,29.988888888888887
34,180,uniform_crossover,37.5,30.45277777777778
35,180,uniform_crossover,37.5,30.930555555555557
36,180,uniform_crossover,37.5,31.38888888888889
37,180,uniform_crossover,37.5,31.780555555555555
38,180,uniform_crossover,37.5,32.2
39,180,uniform_crossover,37.5,32.66388888888889
40,180,uniform_crossover,37.5,33.05555555555556
41,180,uniform_crossover,37.5,33.46944444444444
42,180,uniform_crossover,37.5,33.858333333333334
43,180,uniform_crossover,37.5,34.15277777777778
44,180,uniform_crossover,37.5,34.4
45,180,uniform_crossover,37.5,34.675
46,180,uniform_crossover,37.5,34.9
47,180,uniform_crossover,37.5,35.208333333333336
48,180,uniform_crossover,40.0,35.30833333333333
