Generation,Population Size,Crossover Used,Best Fitness,Mean Fitness
0,1280,two_point_crossover,26.0,15.1546875
1,1280,two_point_crossover,26.0,16.63046875
2,1280,two_point_crossover,27.0,17.72734375
3,1280,two_point_crossover,27.0,18.6640625
4,1280,two_point_crossover,28.0,19.43671875
5,1280,two_point_crossover,28.0,20.0890625
6,1280,two_point_crossover,28.0,20.64140625
7,1280,two_point_crossover,29.0,21.16015625
8,1280,two_point_crossover,29.0,21.68359375
9,1280,two_point_crossover,29.0,22.1015625
10,1280,two_point_crossover,29.0,22.4640625
11,1280,two_point_crossover,29.0,22.82265625
12,1280,two_point_crossover,29.0,23.11953125
13,1280,two_point_crossover,29.0,23.46640625
14,1280,two_point_crossover,29.0,23.81484375
15,1280,two_point_crossover,31.0,24.10078125
16,1280,two_point_crossover,31.0,24.4015625
17,1280,two_point_crossover,31.0,24.684375
18,1280,two_point_crossover,31.0,24.925
19,1280,two_point_crossover,31.0,25.1515625
20,1280,two_point_crossover,33.0,25.4140625
21,1280,two_point_crossover,33.0,25.63515625
22,1280,two_point_crossover,33.0,25.8375
23,1280,two_point_crossover,33.0,26.0671875
24,1280,two_point_crossover,33.0,26.28046875
25,1280,two_point_crossover,33.0,26.43203125
26,1280,two_point_crossover,33.0,26.64453125
27,1280,two_point_crossover,33.0,26.84765625
28,1280,two_point_crossover,33.0,27.028125
29,1280,two_point_crossover,33.0,27.18671875
30,1280,two_point_crossover,33.0,27.40390625
31,1280,two_point_crossover,33.0,27.615625
32,1280,two_point_crossover,33.0,27.7953125
33,1280,two_point_crossover,33.0,27.984375
34,1280,two_point_crossover,33.0,28.15703125
35,1280,two_point_crossover,33.0,28.3453125
36,1280,two_point_crossover,33.0,28.5234375
37,1280,two_point_crossover,33.0,28.69765625
38,1280,two_point_crossover,33.0,28.8671875
39,1280,two_point_crossover,33.0,29.0671875
40,1280,two_point_crossover,33.0,29.24296875
41,1280,two_point_crossover,33.0,29.43046875
42,1280,two_point_crossover,33.0,29.61015625
43,1280,two_point_crossover,33.0,29.7671875
44,1280,two_point_crossover,33.0,29.93984375
45,1280,two_point_crossover,34.0,30.103125
46,1280,two_point_crossover,34.0,30.23125
47,1280,two_point_crossover,34.0,30.403125
48,1280,two_point_crossover,34.0,30.525
49,1280,two_point_crossover,34.0,30.6875
