Generation,Population Size,Crossover Used,Best Fitness,Mean Fitness
0,1280,two_point_crossover,29.0,15.09609375
1,1280,two_point_crossover,29.0,16.54296875
2,1280,two_point_crossover,29.0,17.60703125
3,1280,two_point_crossover,29.0,18.54296875
4,1280,two_point_crossover,29.0,19.3359375
5,1280,two_point_crossover,29.0,20.01171875
6,1280,two_point_crossover,29.0,20.5921875
7,1280,two_point_crossover,30.0,21.0921875
8,1280,two_point_crossover,30.0,21.56953125
9,1280,two_point_crossover,30.0,22.0203125
10,1280,two_point_crossover,30.0,22.44609375
11,1280,two_point_crossover,30.0,22.80703125
12,1280,two_point_crossover,31.0,23.17265625
13,1280,two_point_crossover,31.0,23.525
14,1280,two_point_crossover,32.0,23.85078125
15,1280,two_point_crossover,32.0,24.17734375
16,1280,two_point_crossover,32.0,24.47578125
17,1280,two_point_crossover,32.0,24.73984375
18,1280,two_point_crossover,32.0,24.99296875
19,1280,two_point_crossover,32.0,25.28671875
20,1280,two_point_crossover,32.0,25.5609375
21,1280,two_point_crossover,32.0,25.796875
22,1280,two_point_crossover,32.0,26.06484375
23,1280,two_point_crossover,32.0,26.32890625
24,1280,two_point_crossover,33.0,26.5671875
25,1280,two_point_crossover,33.0,26.7546875
26,1280,two_point_crossover,33.0,26.95546875
27,1280,two_point_crossover,33.0,27.18671875
28,1280,two_point_crossover,33.0,27.36328125
29,1280,two_point_crossover,33.0,27.5609375
30,1280,two_point_crossover,33.0,27.72890625
31,1280,two_point_crossover,33.0,27.90859375
32,1280,two_point_crossover,34.0,28.10546875
33,1280,two_point_crossover,34.0,28.259375
34,1280,two_point_crossover,34.0,28.4421875
35,1280,two_point_crossover,34.0,28.6
36,1280,two_point_crossover,34.0,28.78515625
37,1280,two_point_crossover,34.0,28.9375
38,1280,two_point_crossover,34.0,29.0921875
39,1280,two_point_crossover,34.0,29.27578125
40,1280,two_point_crossover,34.0,29.4703125
41,1280,two_point_crossover,34.0,29.64140625
42,1280,two_point_crossover,34.0,29.7953125
43,1280,two_point_crossover,34.0,29.99453125
44,1280,two_point_crossover,34.0,30.14296875
45,1280,two_point_crossover,34.0,30.33359375
46,1280,two_point_crossover,34.0,30.56015625
47,1280,two_point_crossover,35.0,30.775
48,1280,two_point_crossover,35.0,30.94140625
49,1280,two_point_crossover,35.0,31.1484375
