Generation,Population Size,Crossover Used,Best Fitness,Mean Fitness
0,170,uniform_crossover,15.5,9.741176470588234
1,170,uniform_crossover,16.5,10.941176470588236
2,170,uniform_crossover,20.5,11.894117647058824
3,170,uniform_crossover,21.0,12.473529411764705
4,170,uniform_crossover,21.0,13.044117647058824
5,170,uniform_crossover,21.0,13.538235294117648
6,170,uniform_crossover,21.0,14.052941176470588
7,170,uniform_crossover,21.0,14.629411764705882
8,170,uniform_crossover,21.0,15.091176470588236
9,170,uniform_crossover,25.0,15.588235294117647
10,170,uniform_crossover,25.0,15.882352941176471
11,170,uniform_crossover,25.0,16.544117647058822
12,170,uniform_crossover,26.5,17.13235294117647
13,170,uniform_crossover,26.5,17.61470588235294
14,170,uniform_crossover,26.5,18.00588235294118
15,170,uniform_crossover,26.5,18.61470588235294
16,170,uniform_crossover,27.5,19.188235294117646
17,170,uniform_crossover,28.0,19.67058823529412
18,170,uniform_crossover,28.0,20.16764705882353
19,170,uniform_crossover,28.0,20.58529411764706
20,170,uniform_crossover,29.0,21.108823529411765
21,170,uniform_crossover,32.5,21.66764705882353
22,170,uniform_crossover,33.5,22.30294117647059
23,170,uniform_crossover,33.5,22.71470588235294
24,170,uniform_crossover,33.5,23.25588235294118
25,170,uniform_crossover,33.5,23.83823529411765
26,170,uniform_crossover,33.5,24.441176470588236
27,170,uniform_crossover,34.0,25.064705882352943
28,170,uniform_crossover,34.0,25.58235294117647
29,170,uniform_crossover,37.5,26.43235294117647
30,170,uniform_crossover,37.5,27.061764705882354
31,170,uniform_crossover,37.5,27.49705882352941
32,170,uniform_crossover,37.5,28.158823529411766
33,170,uniform_crossover,37.5,28.891176470588235
34,170,uniform_crossover,37.5,29.55294117647059
35,170,uniform_crossover,37.5,29.941176470588236
36,170,uniform_crossover,37.5,30.44705882352941
37,170,uniform_crossover,37.5,31.058823529411764
38,170,uniform_crossover,37.5,31.514705882352942
39,170,uniform_crossover,37.5,31.99705882352941
40,170,uniform_crossover,37.5,32.758823529411764
41,170,uniform_crossover,40.0,33.05
