Generation,Population Size,Crossover Used,Best Fitness,Mean Fitness
0,170,uniform_crossover,21.5,9.897058823529411
1,170,uniform_crossover,21.5,11.094117647058823
2,170,uniform_crossover,21.5,12.152941176470588
3,170,uniform_crossover,21.5,12.935294117647059
4,170,uniform_crossover,21.5,13.605882352941176
5,170,uniform_crossover,21.5,14.379411764705882
6,170,uniform_crossover,22.0,15.055882352941177
7,170,uniform_crossover,22.0,15.688235294117646
8,170,uniform_crossover,22.0,16.141176470588235
9,170,uniform_crossover,23.5,16.638235294117646
10,170,uniform_crossover,23.5,16.99411764705882
11,170,uniform_crossover,23.5,17.42058823529412
12,170,uniform_crossover,23.5,17.96764705882353
13,170,uniform_crossover,24.5,18.564705882352943
14,170,uniform_crossover,26.0,18.95
15,170,uniform_crossover,28.0,19.455882352941178
16,170,uniform_crossover,28.0,19.973529411764705
17,170,uniform_crossover,28.0,20.408823529411766
18,170,uniform_crossover,28.0,20.75294117647059
19,170,uniform_crossover,28.0,21.158823529411766
20,170,uniform_crossover,29.5,21.541176470588237
21,170,uniform_crossover,30.5,21.779411764705884
22,170,uniform_crossover,30.5,22.091176470588234
23,170,uniform_crossover,34.0,22.655882352941177
24,170,uniform_crossover,34.0,23.05
25,170,uniform_crossover,34.0,23.41176470588235
26,170,uniform_crossover,34.0,23.69705882352941
27,170,uniform_crossover,34.0,24.108823529411765
28,170,uniform_crossover,34.0,24.49411764705882
29,170,uniform_crossover,34.0,24.86470588235294
30,170,uniform_crossover,34.0,25.2
31,170,uniform_crossover,34.0,25.652941176470588
32,170,uniform_crossover,34.0,25.95
33,170,uniform_crossover,34.0,26.38529411764706
34,170,uniform_crossover,36.0,26.944117647058825
35,170,uniform_crossover,36.0,27.394117647058824
36,170,uniform_crossover,36.0,27.847058823529412
37,170,uniform_crossover,36.0,28.23235294117647
38,170,uniform_crossover,36.5,28.923529411764704
39,170,uniform_crossover,37.0,29.564705882352943
40,170,uniform_crossover,37.0,30.064705882352943
41,170,uniform_crossover,37.0,30.61764705882353
42,170,uniform_crossover,37.0,31.341176470588234
43,170,uniform_crossover,37.0,31.929411764705883
44,170,uniform_crossover,37.5,32.65294117647059
45,170,uniform_crossover,40.0,33.19117647058823
