Generation,Population Size,Crossover Used,Best Fitness,Mean Fitness
0,170,uniform_crossover,19.0,9.591176470588236
1,170,uniform_crossover,19.0,10.735294117647058
2,170,uniform_crossover,19.0,11.679411764705883
3,170,uniform_crossover,19.0,12.479411764705882
4,170,uniform_crossover,21.5,13.323529411764707
5,170,uniform_crossover,21.5,14.076470588235294
6,170,uniform_crossover,23.5,14.770588235294118
7,170,uniform_crossover,23.5,15.41764705882353
8,170,uniform_crossover,24.0,16.008823529411764
9,170,uniform_crossover,24.0,16.308823529411764
10,170,uniform_crossover,26.0,16.720588235294116
11,170,uniform_crossover,26.0,17.28529411764706
12,170,uniform_crossover,26.0,17.608823529411765
13,170,uniform_crossover,28.0,18.264705882352942
14,170,uniform_crossover,28.0,18.644117647058824
15,170,uniform_crossover,28.0,19.25294117647059
16,170,uniform_crossover,28.0,19.597058823529412
17,170,uniform_crossover,28.0,20.058823529411764
18,170,uniform_crossover,28.5,20.444117647058825
19,170,uniform_crossover,28.5,20.92058823529412
20,170,uniform_crossover,31.0,21.520588235294117
21,170,uniform_crossover,31.0,21.938235294117646
22,170,uniform_crossover,31.5,22.520588235294117
23,170,uniform_crossover,31.5,22.794117647058822
24,170,uniform_crossover,31.5,23.53529411764706
25,170,uniform_crossover,31.5,23.844117647058823
26,170,uniform_crossover,31.5,24.373529411764707
27,170,uniform_crossover,31.5,24.908823529411766
28,170,uniform_crossover,31.5,25.4
29,170,uniform_crossover,31.5,25.908823529411766
30,170,uniform_crossover,32.0,26.50294117647059
31,170,uniform_crossover,32.5,27.04705882352941
32,170,uniform_crossover,34.5,27.638235294117646
33,170,uniform_crossover,34.5,28.097058823529412
34,170,uniform_crossover,34.5,28.676470588235293
35,170,uniform_crossover,34.5,29.070588235294117
36,170,uniform_crossover,34.5,29.647058823529413
37,170,uniform_crossover,34.5,30.020588235294117
38,170,uniform_crossover,34.5,30.45294117647059
39,170,uniform_crossover,36.0,30.86470588235294
40,170,uniform_crossover,37.0,31.229411764705883
41,170,uniform_crossover,37.5,31.764705882352942
42,170,uniform_crossover,37.5,32.23529411764706
43,170,uniform_crossover,37.5,32.773529411764706
44,170,uniform_crossover,37.5,33.1764705882353
45,170,uniform_crossover,37.5,33.66470588235294
46,170,uniform_crossover,37.5,34.06470588235294
47,170,uniform_crossover,40.0,34.26764705882353
