Generation,Population Size,Crossover Used,Best Fitness,Mean Fitness
0,170,uniform_crossover,19.5,9.852941176470589
1,170,uniform_crossover,19.5,10.93235294117647
2,170,uniform_crossover,19.5,11.744117647058824
3,170,uniform_crossover,22.0,12.729411764705882
4,170,uniform_crossover,26.5,13.691176470588236
5,170,uniform_crossover,26.5,14.467647058823529
6,170,uniform_crossover,26.5,14.91764705882353
7,170,uniform_crossover,26.5,15.526470588235295
8,170,uniform_crossover,26.5,16.08823529411765
9,170,uniform_crossover,26.5,16.67058823529412
10,170,uniform_crossover,26.5,17.308823529411764
11,170,uniform_crossover,26.5,18.01764705882353
12,170,uniform_crossover,26.5,18.629411764705882
13,170,uniform_crossover,27.0,19.13235294117647
14,170,uniform_crossover,27.0,19.70294117647059
15,170,uniform_crossover,30.5,20.158823529411766
16,170,uniform_crossover,30.5,20.514705882352942
17,170,uniform_crossover,30.5,20.794117647058822
18,170,uniform_crossover,30.5,21.220588235294116
19,170,uniform_crossover,30.5,21.897058823529413
20,170,uniform_crossover,30.5,22.485294117647058
21,170,uniform_crossover,30.5,22.98235294117647
22,170,uniform_crossover,30.5,23.326470588235296
23,170,uniform_crossover,32.5,23.788235294117648
24,170,uniform_crossover,36.5,24.43235294117647
25,170,uniform_crossover,36.5,24.944117647058825
26,170,uniform_crossover,36.5,25.311764705882354
27,170,uniform_crossover,36.5,26.008823529411764
28,170,uniform_crossover,36.5,26.520588235294117
29,170,uniform_crossover,36.5,27.07941176470588
30,170,uniform_crossover,36.5,27.647058823529413
31,170,uniform_crossover,36.5,28.279411764705884
32,170,uniform_crossover,40.0,28.729411764705883
