Generation,Population Size,Crossover Used,Best Fitness,Mean Fitness
0,170,uniform_crossover,17.5,9.473529411764705
1,170,uniform_crossover,19.5,10.958823529411765
2,170,uniform_crossover,23.5,12.08235294117647
3,170,uniform_crossover,24.0,13.08529411764706
4,170,uniform_crossover,24.0,13.929411764705883
5,170,uniform_crossover,24.0,14.505882352941176
6,170,uniform_crossover,24.0,15.205882352941176
7,170,uniform_crossover,24.0,15.76764705882353
8,170,uniform_crossover,24.0,16.311764705882354
9,170,uniform_crossover,26.5,16.944117647058825
10,170,uniform_crossover,26.5,17.36764705882353
11,170,uniform_crossover,26.5,17.805882352941175
12,170,uniform_crossover,26.5,18.308823529411764
13,170,uniform_crossover,26.5,18.844117647058823
14,170,uniform_crossover,26.5,19.511764705882353
15,170,uniform_crossover,27.0,19.870588235294118
16,170,uniform_crossover,28.0,20.36470588235294
17,170,uniform_crossover,28.0,20.708823529411763
18,170,uniform_crossover,28.0,21.185294117647057
19,170,uniform_crossover,28.0,21.605882352941176
20,170,uniform_crossover,30.5,21.96470588235294
21,170,uniform_crossover,30.5,22.305882352941175
22,170,uniform_crossover,30.5,22.773529411764706
23,170,uniform_crossover,30.5,23.11764705882353
24,170,uniform_crossover,30.5,23.538235294117648
25,170,uniform_crossover,32.5,23.935294117647057
26,170,uniform_crossover,32.5,24.55
27,170,uniform_crossover,34.0,25.205882352941178
28,170,uniform_crossover,34.0,25.844117647058823
29,170,uniform_crossover,34.0,26.291176470588237
30,170,uniform_crossover,34.0,26.95294117647059
31,170,uniform_crossover,34.0,27.49705882352941
32,170,uniform_crossover,34.5,28.058823529411764
33,170,uniform_crossover,37.0,28.80294117647059
34,170,uniform_crossover,37.0,29.326470588235296
35,170,uniform_crossover,37.0,30.06764705882353
36,170,uniform_crossover,37.0,30.53529411764706
37,170,uniform_crossover,37.5,30.99411764705882
38,170,uniform_crossover,37.5,31.435294117647057
39,170,uniform_crossover,37.5,31.81764705882353
40,170,uniform_crossover,37.5,32.24411764705882
41,170,uniform_crossover,37.5,32.73529411764706
42,170,uniform_crossover,40.0,32.94705882352941
